corridor_id,receiver_id,Lden_db,SEL_total_db,LAeq_day_db
corridor_0,3276,-4.295880199,38.32913873,-12.79691129
corridor_0,3277,-4.532109142,38.09290978,-13.03314023
corridor_0,3278,-6.679394604,35.94562432,-15.18042569
corridor_0,3279,-10.80284202,31.8221769,-19.30387311
corridor_0,3377,-9.041338802,33.58368012,-17.54236989
corridor_0,3378,-5.84615028,36.77886864,-14.34718137
corridor_0,3379,-3.940098644,38.68492028,-12.44112973
corridor_0,3380,-2.914898754,39.71012017,-11.41592984
corridor_0,3381,-2.354058147,40.27096078,-10.85508924
corridor_0,3382,-1.848736645,40.77628228,-10.34976774
corridor_0,3383,-1.38483131,41.24018761,-9.885862401
corridor_0,3384,-0.736847759,41.88817117,-9.23787885
corridor_0,3385,-0.579361797,42.04565713,-9.080392888
corridor_0,3386,-0.214897991,42.41012093,-8.715929082
corridor_0,3387,0.100272297,42.72529122,-8.400758794
corridor_0,3388,0.359419941,42.98443887,-8.14161115
corridor_0,3389,0.420065998,43.04508492,-8.080965093
corridor_0,3390,0.462916493,43.08793542,-8.038114598
corridor_0,3391,0.479762196,43.10478112,-8.021268895
corridor_0,3392,0.627215504,43.25223443,-7.873815587
corridor_0,3393,0.443389057,43.06840798,-8.057642034
corridor_0,3394,0.544245838,43.16926476,-7.956785253
corridor_0,3395,0.309729694,42.93474862,-8.191301396
corridor_0,3396,0.377452015,43.00247094,-8.123579076
corridor_0,3397,0.150332569,42.77535149,-8.350698522
corridor_0,3398,0.248725056,42.87374398,-8.252306035
corridor_0,3399,-0.053933025,42.5710859,-8.554964116
corridor_0,3400,-0.178746105,42.44627282,-8.679777196
corridor_0,3401,-0.50353706,42.12148186,-9.004568151
corridor_0,3402,-0.876995922,41.748023,-9.378027013
corridor_0,3403,-1.308956982,41.31606194,-9.809988072
corridor_0,3404,-1.769898296,40.85512063,-10.27092939
corridor_0,3405,-2.261334301,40.36368462,-10.76236539
corridor_0,3406,-3.898568035,38.72645089,-12.39959913
corridor_0,3505,-5.521653057,37.10336587,-14.02268415
corridor_0,3506,-2.661312939,39.96370599,-11.16234403
corridor_0,3507,-1.58305061,41.04196832,-10.0840817
corridor_0,3508,-0.887753368,41.73726556,-9.388784459
corridor_0,3509,-0.667824627,41.9571943,-9.168855718
corridor_0,3510,-0.261814953,42.36320397,-8.762846044
corridor_0,3511,0.097411274,42.7224302,-8.403619817
corridor_0,3512,0.423281788,43.04830071,-8.077749303
corridor_0,3513,0.727179646,43.35219857,-7.773851445
corridor_0,3514,0.851222157,43.47624108,-7.649808934
corridor_0,3515,0.977130055,43.60214898,-7.523901036
corridor_0,3516,1.059416889,43.68443581,-7.441614202
corridor_0,3517,1.277388691,43.90240762,-7.2236424
corridor_0,3518,1.377852558,44.00287148,-7.123178533
corridor_0,3519,1.32509911,43.95011803,-7.175931981
corridor_0,3520,1.508307575,44.1333265,-6.992723516
corridor_0,3521,1.399294972,44.0243139,-7.101736119
corridor_0,3522,1.410349964,44.03536889,-7.090681127
corridor_0,3523,1.394282459,44.01930138,-7.106748631
corridor_0,3524,1.22478783,43.84980675,-7.27624326
corridor_0,3525,1.145037769,43.77005669,-7.355993321
corridor_0,3526,0.898318409,43.52333733,-7.602712682
corridor_0,3527,0.594020008,43.21903893,-7.907011083
corridor_0,3528,0.416842579,43.0418615,-8.084188512
corridor_0,3529,0.080920338,42.70593926,-8.420110753
corridor_0,3530,-0.305455089,42.31956384,-8.80648618
corridor_0,3531,-0.702778698,41.92224023,-9.203809789
corridor_0,3532,-1.151093365,41.47392556,-9.652124455
corridor_0,3533,-1.913212658,40.71180627,-10.41424375
corridor_0,3534,-2.474945904,40.15007302,-10.97597699
corridor_0,3535,-3.452946545,39.17207238,-11.95397764
corridor_0,3536,-4.627594829,37.9974241,-13.12862592
corridor_0,3537,-9.032986523,33.5920324,-17.53401761
corridor_0,3631,-7.822596432,34.80242249,-16.32362752
corridor_0,3632,-4.100258709,38.52476022,-12.6012898
corridor_0,3633,-2.678654552,39.94636437,-11.17968564
corridor_0,3634,-1.828808666,40.79621026,-10.32983976
corridor_0,3635,-1.538586498,41.08643243,-10.03961759
corridor_0,3636,-0.7970742,41.82794472,-9.29810529
corridor_0,3637,-0.321293713,42.30372521,-8.822324803
corridor_0,3638,0.272780537,42.89779946,-8.228250554
corridor_0,3639,0.644606709,43.26962563,-7.856424382
