corridor_id,receiver_id,order,grid_i,grid_j,X_EPSG5179,Y_EPSG5179,lat,lon,Lden_db,SEL_total_db,LAeq_day_db
corridor_0,3658,3658,73,28,1144750,1729250,35.5486772,129.0969385,0.818202137,43.44322106,-7.682828954
corridor_0,3659,3659,74,28,1144850,1729250,35.5486626,129.0980414,0.492083668,43.11710259,-8.008947423
corridor_0,3660,3660,75,28,1144950,1729250,35.5486479,129.0991442,0.103476643,42.72849557,-8.397554448
corridor_0,3661,3661,76,28,1145050,1729250,35.5486333,129.1002471,-0.299805523,42.3252134,-8.800836614
corridor_0,3662,3662,77,28,1145150,1729250,35.5486187,129.1013499,-0.750153423,41.8748655,-9.251184514
corridor_0,3663,3663,78,28,1145250,1729250,35.548604,129.1024528,-1.215710522,41.4093084,-9.716741612
corridor_0,3664,3664,79,28,1145350,1729250,35.5485893,129.1035556,-2.257878185,40.36714074,-10.75890928
corridor_0,3665,3665,80,28,1145450,1729250,35.5485747,129.1046585,-3.490387798,39.13463113,-11.99141889
corridor_0,3666,3666,81,28,1145550,1729250,35.54856,129.1057613,-8.03799522,34.5870237,-16.53902631
corridor_0,3758,3758,82,29,1145650,1729350,35.5494466,129.1068822,-5.491516949,37.13350198,-13.99254804
corridor_0,3759,3759,81,29,1145550,1729350,35.5494613,129.1057793,-3.0154351,39.60958382,-11.51646619
corridor_0,3760,3760,80,29,1145450,1729350,35.549476,129.1046765,-1.896126629,40.7288923,-10.39715772
corridor_0,3761,3761,79,29,1145350,1729350,35.5494906,129.1035736,-0.94531715,41.67970177,-9.446348241
corridor_0,3762,3762,78,29,1145250,1729350,35.5495053,129.1024707,-0.476136089,42.14888284,-8.97716718
corridor_0,3763,3763,77,29,1145150,1729350,35.54952,129.1013679,0.15038216,42.77540108,-8.350648931
corridor_0,3764,3764,76,29,1145050,1729350,35.5495346,129.100265,0.575907826,43.20092675,-7.925123265
corridor_0,3765,3765,75,29,1144950,1729350,35.5495492,129.0991621,0.955474018,43.58049294,-7.545557073
corridor_0,3766,3766,74,29,1144850,1729350,35.5495639,129.0980593,1.309291004,43.93430993,-7.191740087
corridor_0,3767,3767,73,29,1144750,1729350,35.5495785,129.0969564,1.615851521,44.24087045,-6.88517957
corridor_0,3768,3768,72,29,1144650,1729350,35.5495931,129.0958535,1.912974476,44.5379934,-6.588056615
corridor_0,3769,3769,71,29,1144550,1729350,35.5496077,129.0947507,1.982936024,44.60795495,-6.518095067
corridor_0,3770,3770,70,29,1144450,1729350,35.5496223,129.0936478,2.256846546,44.88186547,-6.244184545
corridor_0,3771,3771,69,29,1144350,1729350,35.5496368,129.0925449,2.489585041,45.11460397,-6.01144605
corridor_0,3772,3772,68,29,1144250,1729350,35.5496514,129.091442,2.584525227,45.20954415,-5.916505864
corridor_0,3773,3773,67,29,1144150,1729350,35.549666,129.0903392,2.715983509,45.34100243,-5.785047582
corridor_0,3774,3774,66,29,1144050,1729350,35.5496805,129.0892363,2.909419178,45.5344381,-5.591611913
corridor_0,3775,3775,65,29,1143950,1729350,35.549695,129.0881334,2.913436054,45.53845498,-5.587595037
corridor_0,3776,3776,64,29,1143850,1729350,35.5497096,129.0870305,3.055735706,45.68075463,-5.445295384
corridor_0,3777,3777,63,29,1143750,1729350,35.5497241,129.0859277,3.026557087,45.65157601,-5.474474004
corridor_0,3778,3778,62,29,1143650,1729350,35.5497386,129.0848248,3.05922234,45.68424126,-5.441808751
corridor_0,3779,3779,61,29,1143550,1729350,35.5497531,129.0837219,2.934302448,45.55932137,-5.566728642
corridor_0,3780,3780,60,29,1143450,1729350,35.5497676,129.082619,2.948191761,45.57321069,-5.55283933
corridor_0,3781,3781,59,29,1143350,1729350,35.549782,129.0815162,2.741091847,45.36611077,-5.759939244
corridor_0,3782,3782,58,29,1143250,1729350,35.5497965,129.0804133,2.504847645,45.12986657,-5.996183446
corridor_0,3783,3783,57,29,1143150,1729350,35.549811,129.0793104,2.324549793,44.94956872,-6.176481297
corridor_0,3784,3784,56,29,1143050,1729350,35.5498254,129.0782075,2.136012196,44.76103112,-6.365018895
corridor_0,3785,3785,55,29,1142950,1729350,35.5498398,129.0771046,1.825190662,44.45020959,-6.675840428
corridor_0,3786,3786,54,29,1142850,1729350,35.5498543,129.0760018,1.365458607,43.99047753,-7.135572484
corridor_0,3787,3787,53,29,1142750,1729350,35.5498687,129.0748989,0.993212818,43.61823174,-7.507818273
corridor_0,3788,3788,52,29,1142650,1729350,35.5498831,129.073796,0.593630909,43.21864983,-7.907400182
corridor_0,3789,3789,51,29,1142550,1729350,35.5498975,129.0726931,0.163581013,42.78859994,-8.337450078
corridor_0,3790,3790,50,29,1142450,1729350,35.5499118,129.0715902,-0.493294598,42.13172433,-8.994325688
corridor_0,3791,3791,49,29,1142350,1729350,35.5499262,129.0704873,-0.990239025,41.6347799,-9.491270116
corridor_0,3792,3792,48,29,1142250,1729350,35.5499406,129.0693844,-1.747280956,40.87773797,-10.24831205
corridor_0,3793,3793,47,29,1142150,1729350,35.5499549,129.0682816,-2.627224804,39.99779412,-11.12825589
corridor_0,3794,3794,46,29,1142050,1729350,35.5499693,129.0671787,-4.098648907,38.52637002,-12.59968
corridor_0,3886,3886,45,30,1141950,1729450,35.5508849,129.0660933,-3.694554211,38.93046471,-12.1955853
corridor_0,3887,3887,46,30,1142050,1729450,35.5508706,129.0671962,-2.306481243,40.31853768,-10.80751233
corridor_0,3888,3888,47,30,1142150,1729450,35.5508563,129.0682991,-1.43787849,41.18714043,-9.938909581
corridor_0,3889,3889,48,30,1142250,1729450,35.5508419,129.069402,-0.688900829,41.9361181,-9.18993192
corridor_0,3890,3890,49,30,1142350,1729450,35.5508275,129.0705049,-0.209542156,42.41547677,-8.710573247
corridor_0,3891,3891,50,30,1142450,1729450,35.5508132,129.0716078,0.408595203,43.03361413,-8.092435887
