order,grid_i,grid_j,X_EPSG5179,Y_EPSG5179,lat,lon
416,96,3,1147050,1726750,35.525806,129.1218503
417,95,3,1146950,1726750,35.5258208,129.1207477
418,94,3,1146850,1726750,35.5258356,129.1196452
419,93,3,1146750,1726750,35.5258504,129.1185427
420,92,3,1146650,1726750,35.5258652,129.1174401
421,91,3,1146550,1726750,35.52588,129.1163376
422,90,3,1146450,1726750,35.5258948,129.1152351
423,89,3,1146350,1726750,35.5259095,129.1141325
424,88,3,1146250,1726750,35.5259243,129.11303
425,87,3,1146150,1726750,35.525939,129.1119275
426,86,3,1146050,1726750,35.5259537,129.1108249
427,85,3,1145950,1726750,35.5259685,129.1097224
428,84,3,1145850,1726750,35.5259832,129.1086198
429,83,3,1145750,1726750,35.5259979,129.1075173
430,82,3,1145650,1726750,35.5260126,129.1064148
431,81,3,1145550,1726750,35.5260273,129.1053122
432,80,3,1145450,1726750,35.5260419,129.1042097
433,79,3,1145350,1726750,35.5260566,129.1031071
434,78,3,1145250,1726750,35.5260712,129.1020046
435,77,3,1145150,1726750,35.5260859,129.1009021
436,76,3,1145050,1726750,35.5261005,129.0997995
437,75,3,1144950,1726750,35.5261151,129.098697
438,74,3,1144850,1726750,35.5261298,129.0975944
439,73,3,1144750,1726750,35.5261444,129.0964919
440,72,3,1144650,1726750,35.5261589,129.0953893
441,71,3,1144550,1726750,35.5261735,129.0942868
442,70,3,1144450,1726750,35.5261881,129.0931842
443,69,3,1144350,1726750,35.5262027,129.0920817
444,68,3,1144250,1726750,35.5262172,129.0909791
445,67,3,1144150,1726750,35.5262318,129.0898766
446,66,3,1144050,1726750,35.5262463,129.088774
447,65,3,1143950,1726750,35.5262608,129.0876715
448,64,3,1143850,1726750,35.5262753,129.0865689
449,63,3,1143750,1726750,35.5262898,129.0854664
450,62,3,1143650,1726750,35.5263043,129.0843638
451,61,3,1143550,1726750,35.5263188,129.0832612
452,60,3,1143450,1726750,35.5263333,129.0821587
453,59,3,1143350,1726750,35.5263477,129.0810561
454,58,3,1143250,1726750,35.5263622,129.0799536
455,57,3,1143150,1726750,35.5263766,129.078851
456,56,3,1143050,1726750,35.5263911,129.0777484
457,55,3,1142950,1726750,35.5264055,129.0766459
458,54,3,1142850,1726750,35.5264199,129.0755433
459,53,3,1142750,1726750,35.5264343,129.0744408
